id,title,grant_type,grant_types,highlights,priority_score,funder,source,url,description,deadline,urgency,deadline_days,amount_max,amount_min,currency,amount_usd,country,region,categories,language,relevance,status,fetched_at
56e3b9e1b562,The Pollination Project,human_rights,"['human_rights', 'youth']",['OPEN'],26,,capta.org.br,https://capta.org.br/oportunidades/the-pollination-project/,"The Pollination Project O Projeto “ The Pollination ” promove apoio financeiro a projetos em estágios iniciais de desenvolvimento que necessitam de uma pequena quantidade de dinheiro para solucionar muitos de seus problemas, e estimular seu desenvolvimento inicial para que possam crescer. Poderão se inscrever apenas projetos sem fins lucrativos nas áreas de: Direito e bem-estar dos animais; Artes e cultura; Empoderamento econômico; Sustentabilidade e meio-ambiente; Saúde e bem-estar; Direitos humanos e dignidade; Desenvolvimento de lideranças; Escolas e educação; Jovens. Os valor máximo das pr",,unknown,,,,,,BR,,[],pt,26,pending,2026-07-01T00:55:56.121811+00:00
95d36a5771ee,Consulado Geral do Japão,general,['general'],['OPEN'],20,,capta.org.br,https://capta.org.br/oportunidades/consulado-geral-do-japao/,"Consulado Geral do Japão em São Paulo O Consulado Geral do Japão em São Paulo aceita projetos com atuação no atendimento às necessidades humanas básicas, principalmente nas áreas de assistência social: Saúde básica; Educação básica; Bem-Estar público e Meio Ambiente. São elegíveis pelo edital ONGs, governos locais e organizações sem fins lucrativos que atuem na promoção do desenvolvimento comunitário básico. O valor máximo de financiamento por projeto é 10 milhões de ienes. Os projetos são recebidos durante todo o ano e podem ser enviados por e-mail, por correios ou entregues pessoalmente no C",,unknown,,,,,,BR,,[],pt,20,pending,2026-07-01T00:55:56.118180+00:00
c29a01ef2ccf,Fundo Social da Cresol Rio Grande do Sul,general,['general'],"['EXPIRED', 'OPEN']",18,,capta.org.br,https://capta.org.br/oportunidades/fundo-social-da-cresol-rio-grande-do-sul/,"Fundo Social Cresol 2026 O Fundo Social Cresol apoia projetos de organizações sem fins lucrativos que promovam o desenvolvimento social, comunitário e sustentável. A iniciativa financia ações nas áreas de educação e cultura, saúde e bem-estar, geração de renda e empreendedorismo, sustentabilidade e meio ambiente, desenvolvimento comunitário e social, além de esporte e lazer. Além disso, os projetos devem contribuir para os Objetivos de Desenvolvimento Sustentável (ODS) e gerar impactos positivos para as comunidades atendidas. Podem participar entidades que apresentem propostas com objetivos cl",2026-01-07,expired,-176,,,,,BR,,[],pt,18,pending,2026-07-01T00:55:56.075009+00:00
fd61196e3eeb,Programa de Apoio a Projetos Sociais – PAPS Edital 2027,human_rights,['human_rights'],"['URGENT', 'OPEN']",18,,capta.org.br,https://capta.org.br/oportunidades/programa-de-apoio-a-projetos-sociais-paps-edital-2027/,"Fundação Salvador Arena A Fundação Salvador Arena lançou o Programa de Apoio a Projetos Sociais (PAPS) 2027 para fortalecer organizações da sociedade civil que atuam com populações em situação de vulnerabilidade social. O edital apoia iniciativas que ampliem atendimentos, criem novos serviços, qualifiquem ações existentes, promovam o acesso a direitos e melhorem as condições de moradia. Além disso, a chamada oferece apoio específico para projetos de educação infantil em creches comunitárias e municipalizadas das regiões Norte e Nordeste. Podem participar organizações sem fins lucrativos com pe",2026-07-13,urgent,11,,,,,BR,,[],pt,8,pending,2026-07-01T00:55:56.077273+00:00
0db639692f93,Edital iCS nº 05/2026 – Soluções de Adaptação Climática Baseada em Territórios e Comunidades,climate_justice,"['climate_justice', 'conservation']","['EXPIRED', 'CLIMATE', 'OPEN']",18,,capta.org.br,https://capta.org.br/oportunidades/edital-ics-no-05-2026-solucoes-de-adaptacao-climatica-baseada-em-territorios-e-comunidades/,"Instituto Clima e Sociedade (iCS) O Edital iCS nº 05/2026 apoia projetos de adaptação às mudanças climáticas liderados por comunidades vulneráveis. Além disso, a iniciativa busca fortalecer a resiliência climática por meio de soluções participativas, territorializadas e com potencial de replicação. Nesse sentido, o edital incentiva ações voltadas ao enfrentamento de ondas de calor, secas prolongadas, inundações, deslizamentos e incêndios florestais. Também valoriza projetos que fortaleçam a governança comunitária, promovam capacitação local e utilizem Soluções Baseadas na Natureza (SbN). O pro",2026-01-07,expired,-176,,,,,BR,,[],pt,18,pending,2026-07-01T00:55:56.079462+00:00
40215b9d22c2,VBIO em busca de projetos,conservation,['conservation'],['OPEN'],18,,capta.org.br,https://capta.org.br/oportunidades/vbio-em-busca-de-projetos/,"VBIO A VBIO é uma plataforma online que auxilia organizações na captação e destinação de recursos para projetos da biodiversidade brasileira. Podem se candidatar iniciativas focadas em temáticas como segurança alimentar, agricultura regenerativa, qualificação profissional de agricultores familiares e agroextrativistas, produtividade agrícola e geração de renda. Região: todo o Brasil Inscrições: contínuas Edital: VBIO em busca de projetos",,unknown,,,,,,BR,,[],pt,18,pending,2026-07-01T00:55:56.112593+00:00
e0d84be824eb,Fundo de Inovação Global,general,['general'],['OPEN'],16,,capta.org.br,https://capta.org.br/oportunidades/fundo-de-inovacao-global/,"Fundo de Inovação Global O Fundo de Inovação Global recebe propostas a qualquer momento de soluções inovadoras que abordem os principais desafios do desenvolvimento, principalmente para grupos pobres e vulneráveis. O financiamento varia de £ 30 mil a £ 10 milhões de libras. Os temas apoiados são meio ambiente, assistência social, cultura e artes, desenvolvimento comunitário, dentre outros. É possível visitar o website do Fundo em português, porém a submissão das propostas deve ser feita em língua inglesa. Região: todo o Brasil Inscrições: contínuas Edital: Edital Contínuo Fundo de Inovação Glo",,unknown,,,,,,BR,,[],pt,16,pending,2026-07-01T00:55:56.123209+00:00
f2479c942569,Calling Civil Society Organisations and Social Enterprises: Join eYAA Cohort 6!,human_rights,"['human_rights', 'youth', 'artivism']","['GOOD_VALUE', 'OPEN']",15,ASEAN Foundation,asia:asean,https://aseanfoundation.org/call-for-application/calling-civil-society-organisations-and-social-enterprises-join-eyaa-cohort-6/,Apply for eYAA Cohort 6 – CSO & SE Partnership Call Skip to content About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Contact Us About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Search Contac,,unknown,,"USD 25,000",,,25000.0,SEA,,"['youth', 'culture', 'social enterprise', 'education']",en,10,pending,2026-07-01T00:55:56.188557+00:00
a91470f1e150,Prosas Editais,general,['general'],['OPEN'],14,,capta.org.br,https://capta.org.br/oportunidades/prosas-editais/,"Prosas A plataforma Prosas é um espaço digital que facilita a conexão entre instituições que promovem editais de apoio e financiamento a projetos sociais e as organizações que buscam essas oportunidades. A Prosas organiza editais públicos e privados em áreas como cultura, educação, saúde, meio ambiente, desenvolvimento social, etc. oferecendo um ambiente unificado para divulgação, inscrição e acompanhamento de projetos. Ela também permite que os interessados em participar dos editais monitorem prazos, critérios de elegibilidade e orientações para cada edital. Quase que diariamente essa platafo",,unknown,,,,,,BR,,[],pt,14,pending,2026-07-01T00:55:56.091489+00:00
1ab89122478f,Acelen Incentiva,conservation,['conservation'],['OPEN'],14,,capta.org.br,https://capta.org.br/oportunidades/acelen-incentiva/,"Acelen O edital Acelen Incentiva , lançado pela Acelen, tem como objetivo apoiar ações alinhadas com as estratégias de ESG e de Comunicação da empresa, contribuindo para a melhoria do meio ambiente e do futuro das comunidades. As propostas devem abordar temas como conservação da água, educação, segurança alimentar e promoção do setor de atuação da empresa. O edital possui abrangência em todo o estado da Bahia, com prioridade para projetos nas comunidades do entorno da Refinaria de Mataripe. Não há valores especificados. As inscrições estão abertas de forma contínua. Região: todo o estado da Ba",,unknown,,,,,,BR,,[],pt,14,pending,2026-07-01T00:55:56.097621+00:00
b0e71bb90cf7,Patrocínios Instituto Claro,general,['general'],['OPEN'],12,,capta.org.br,https://capta.org.br/oportunidades/patrocinios-instituto-claro/,"Instituto Claro O edital “Patrocínios Instituto Claro”, lançado pelo Instituto Claro, tem como objetivo apoiar projetos que promovam impacto social e ambiental, proporcionando entretenimento, conteúdo e diversão à sociedade. As linhas temáticas incluem cultura, esporte, educação, cidadania e meio ambiente. Serão escolhidos apenas projetos aprovados pelas Leis de Incentivo Estaduais e Municipais, nas localidades onde as leis de aporte via ICMS e ISS estão vigentes. A abrangência é nacional, e as inscrições estão abertas de forma contínua. Região: todo o Brasil Inscrições: contínuas Edital: Patr",,unknown,,,,,,BR,,[],pt,12,pending,2026-07-01T00:55:56.100818+00:00
3333fb5ff706,Fondo de Acción Urgente,human_rights,['human_rights'],['OPEN'],12,,capta.org.br,https://capta.org.br/oportunidades/fondo-de-accion-urgente/,"Fundos de Ação Urgente Os Apoios de Resposta Rápida – ARRs é um modelo único de financiamento flexível e de curto prazo criado pelos Fundos de Ação Urgente, para apoiar de maneira estratégica ações que: protegem a diversidade de ativistas e suas organizações, quando elas estão em risco ou ameaçadas por seu trabalho na defesa dos Direitos Humanos e do território e da natureza; ou que atuem pela defesa e promoção dos direitos das mulheres e das pessoas LBTIQ+, estabelecendo precedentes legais, influenciando políticas e/ou promover mudanças nas práticas sociais ou culturais. A ação deve ser imple",,unknown,,,,,,BR,,[],pt,12,pending,2026-07-01T00:55:56.113859+00:00
ff0a511b7b46,Waitt Foundation,conservation,['conservation'],['OPEN'],12,,capta.org.br,https://capta.org.br/oportunidades/waitt-foundation/,"Waitt Foundation A Waitt Foundation, por meio de um programa de pequenas doações, apoia projetos que visem a conservação dos oceanos. O objetivo é dar suporte a ONGs e pesquisadores ligados a instituições acadêmicas, com iniciativas locais ligadas à pesca e a sustentabilidade. Serão atendidas propostas orçadas em até U$ 10 mil, no entanto, a fundação informa que irá considerar ainda, projetos de até U$ 15 mil. As áreas de foco do programa são: Pesquisa Científica – o que engloba ciência natural e social; Política – projetos que tenham base em políticas públicas; Gestão – englobando tanto a exe",,unknown,,,,,,BR,,[],pt,12,pending,2026-07-01T00:55:56.132560+00:00
f49613013358,Edital de Concurso nº 01/2026 – Brasil Arquivos,general,['general'],"['EXPIRED', 'OPEN']",10,,capta.org.br,https://capta.org.br/oportunidades/edital-de-concurso-no-01-2026-brasil-arquivos/,"Programa Pró-Memórias | Instituto Galo da Manhã O Edital Brasil Arquivos apoia projetos de preservação, organização, digitalização e difusão de acervos arquivísticos. Além disso, a iniciativa busca fortalecer a memória brasileira por meio da salvaguarda de documentos de interesse histórico, cultural e comunitário. Nesse sentido, o edital incentiva propostas de movimentos sociais, coletivos, instituições culturais, universidades, fundações, centros de memória e acervos de interesse público. Também apoia ações de diagnóstico, tratamento técnico, preservação, digitalização e criação de repositóri",2026-02-08,expired,-144,,,,,BR,,[],pt,10,pending,2026-07-01T00:55:56.082170+00:00
eaf4ccf01078,Chamada de Projeto – IACP 2025,human_rights,['human_rights'],['OPEN'],10,,capta.org.br,https://capta.org.br/oportunidades/chamada-de-projeto-iacp-2025/,"Chamada de Projeto – IACP 2025 O Instituto ACP está com inscrições abertas para a Chamada de Projeto – IACP 2025, que tem como objetivo apoiar iniciativas voltadas ao fortalecimento e desenvolvimento institucional de organizações da sociedade civil (OSCs) em todo o Brasil. Os projetos devem ser co-financiados e podem assumir diversos formatos, como campanhas, eventos, cursos, negócios de impacto social, pesquisas ou plataformas. Outros formatos também podem ser propostos, desde que devidamente justificados. O valor máximo de apoio é de R$ 100.000. As inscrições permanecem abertas durante todo",,unknown,,,,,,BR,,[],pt,10,pending,2026-07-01T00:55:56.089646+00:00
54107a6f49e5,Google Brasil,general,['general'],['OPEN'],8,,capta.org.br,https://capta.org.br/oportunidades/google-brasil/,"Google Brasil O Google Brasil está recebendo inscrições para seu programa “Google para organizações sem fins lucrativos”, que oferece ferramentas gratuitas de comunicação na web, visando aumentar a visibilidade e potencializar o impacto do trabalho das entidades. Os contemplados poderão acessar gratuitamente as ferramentas do Google como YouTube Premium (com botão para doação), AdWords (buscas patrocinadas), disponibilização de softwares de parceiros, além de ferramentas profissionais do Google Docs, Hangouts e Google Plus. Os participantes recebem um crédito de US$ 10 mil por mês para utiliza",,unknown,,,,,,BR,,[],pt,8,pending,2026-07-01T00:55:56.125139+00:00
6689026f5cce,Fundação Ford,human_rights,"['human_rights', 'youth']",['OPEN'],8,,capta.org.br,https://capta.org.br/oportunidades/ford-foundation/,"Fundação Ford A Fundação Ford recebe propostas o ano inteiro de projetos que atuem nas seguintes áreas: engajamento civil; desenvolvimento com equidade; economia inclusiva; oportunidades para a juventude; criatividade e livre expressão; justiça de raça, gênero e etnia; e liberdade na internet. A inscrição da ideia é feita por meio de um formulário online simplificado. Se a ideia for selecionada, entram em contato no prazo de 45 dias. A Fundação Ford alerta que os recursos são limitados e devido à grande demanda, apoiam cerca de 1% das propostas recebidas. Região: todo o Brasil Inscrições: cont",,unknown,,,,,,BR,,[],pt,8,pending,2026-07-01T00:55:56.126853+00:00
3e193b1fc6b3,Calling CSOs and Social Enterprises: Join eYAA Cohort 5 Today!,youth,"['youth', 'artivism']","['GOOD_VALUE', 'OPEN']",7,ASEAN Foundation,asia:asean,https://aseanfoundation.org/call-for-application/calling-csos-and-social-enterprises-join-eyaa-cohort-5-today/,Calling CSOs and Social Enterprises: Join eYAA Cohort 5 Today! - ASEAN Foundation Skip to content About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Contact Us About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications N,,unknown,,"USD 25,000",,,25000.0,SEA,,"['youth', 'culture', 'social enterprise', 'education']",en,2,pending,2026-07-01T00:55:58.919526+00:00
31bd0e2b5bad,Toledo Community Foundation,climate_justice,['climate_justice'],"['CLIMATE', 'OPEN']",6,,capta.org.br,https://capta.org.br/oportunidades/toledo-community-foundation/,"Toledo Community Foundation A Toledo Community Foundation é uma fundação comunitária que busca soluções sustentáveis e economicamente viáveis para a geração de energia renovável. Atuando no Centro-Leste dos Estados Unidos, a fundação tem um processo contínuo de seleção de projetos comunitários em todo o mundo que causem impactos sociais positivos e dialoguem com seus princípios: educação “verde”, acesso à energia limpa e à água e desenvolvimento de tecnologias inovadoras e sustentáveis. O financiamento é voltado a projetos ou serviços que custam ou excedem US $ 10.000. Solicitações abaixo dess",,unknown,,,,,,BR,,[],pt,6,pending,2026-07-01T00:55:56.115460+00:00
cff37ee20e83,Subsídio de Desenvolvimento Comunitário,general,['general'],['OPEN'],4,,capta.org.br,https://capta.org.br/oportunidades/subsidio-de-desenvolvimento-comunitario/,"Inter-American Foundation A Inter-American Foundation lançou o programa “Subsídio de Desenvolvimento Comunitário” com o objetivo de apoiar projetos de desenvolvimento liderados por comunidades na América Latina e no Caribe. A parceria visa organizações locais que identificam soluções inovadoras e viáveis para os desafios do desenvolvimento local, especialmente em comunidades desfavorecidas ou excluídas. O valor máximo de apoio é de US$ 400.000. O edital abrange todo o Brasil e as inscrições são contínuas. Região: todo o Brasil Inscrições: contínuas Edital: Subsídio de Desenvolvimento Comunitár",,unknown,,,,,,BR,,[],pt,4,pending,2026-07-01T00:55:56.105165+00:00
feaac5fcd7c2,Catalisar 2024,general,['general'],['OPEN'],4,,capta.org.br,https://capta.org.br/oportunidades/catalisar-2024/,"Fábrica Carioca de Catalisadores S.A. O edital Catalisar 2024, lançado pela Fábrica Carioca de Catalisadores S.A., tem como objetivo oferecer para populações em situação de vulnerabilidade social e econômica a oportunidade de exposição à cultura, esporte, cidadania, saúde, educação, conscientização ambiental e geração de renda. As linhas temáticas do edital incluem inclusão social, educação e desenvolvimento integral, geração de trabalho e renda, e prevenção e promoção à saúde. O valor total do edital é de R$ 317.739,34, e o valor máximo de apoio para cada projeto será determinado pela Fábrica",,unknown,,,,,,BR,,[],pt,4,pending,2026-07-01T00:55:56.106857+00:00
c06f5ce6a0d9,Banco de Projetos Socioambientais,general,['general'],['OPEN'],4,,capta.org.br,https://capta.org.br/oportunidades/banco-de-projetos-socioambientais/,"Instituto EDP O Banco de Projetos Socioambientais do Instituto EDP é um canal de captação contínua para projetos sociais que tenham como objetivo o desenvolvimento social, cultural e/ou ambiental. A fonte de recursos desse banco são o LICC, LIEC, PROAC, PIE, verba direta, FIA, Fundo do Idoso, Rouanet, PRONAS, PRONON e a Lei Federal do Esporte. Região: diversos municípios dos estados do Espirito Santo, São Paulo, Goiás, Ceará, entre outros. Para mais informações acesse o edital. Inscrições: contínuas Edital: Banco de Projetos Socioambientais",,unknown,,,,,,BR,,[],pt,4,pending,2026-07-01T00:55:56.110290+00:00
5a9dba1c2e03,Calling All Youth Changemakers: Be Part of eYAA Cohort 6 Now!,youth,"['youth', 'artivism']",['OPEN'],4,ASEAN Foundation,asia:asean,https://aseanfoundation.org/call-for-application/calling-all-youth-changemakers-be-part-of-eyaa-cohort-6-now/,Apply for eYAA Cohort 6 – ASEAN Volunteering Programme Skip to content About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Contact Us About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Search Con,,unknown,,rm.,,,,SEA,,"['youth', 'culture', 'social enterprise', 'education']",en,4,pending,2026-07-01T00:55:56.724215+00:00
da53fd69eb38,Call for Applications: ASEAN Youth Creators for Impact Programme,youth,"['youth', 'artivism']","['HAS_AMOUNT', 'OPEN']",4,ASEAN Foundation,asia:asean,https://aseanfoundation.org/call-for-application/call-for-applications-asean-youth-creators-for-impact-programme/,Call for Applications: ASEAN Youth Creators for Impact Programme  - ASEAN Foundation Skip to content About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Contact Us About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publication,,unknown,,in 1997,,,1997.0,SEA,,"['youth', 'culture', 'social enterprise', 'education']",en,4,pending,2026-07-01T00:55:57.166554+00:00
a57f7c844529,Calling All Youth Changemakers: Be Part of eYAA Cohort 5 Today!,youth,"['youth', 'artivism']",['OPEN'],4,ASEAN Foundation,asia:asean,https://aseanfoundation.org/call-for-application/call-for-applications-asean-youth-empowerment-for-peacebuilding-and-tolerance/calling-all-youth-changemakers-be-part-of-eyaa-cohort-5-today/,Calling All Youth Changemakers: Be Part of eYAA Cohort 5 Today! - ASEAN Foundation Skip to content About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications News Publications Contact Us About Us Our Story Our Vision & Mission Our People Board of Trustees Our Team Press Library Programmes & Impacts Programmes Our Impacts Get Involved Call for Applications Careers Become Our Partner News & Publications,,unknown,,rm.,,,,SEA,,"['youth', 'culture', 'social enterprise', 'education']",en,4,pending,2026-07-01T00:55:58.344782+00:00
